city,state_id,state_name,lat,lng,population
Ruby,AK,Alaska,64.7233,-155.5006,154
Lutak,AK,Alaska,59.3997,-135.6314,154
Arctic Village,AK,Alaska,68.1421,-145.4957,153
Ouzinkie,AK,Alaska,57.9222,-152.4674,153
Kobuk,AK,Alaska,66.931,-156.8939,153
Wales,AK,Alaska,65.6119,-168.0773,151
Port Alsworth,AK,Alaska,60.1688,-154.3233,151
Kokhanok,AK,Alaska,59.4158,-154.7456,150
Mud Bay,AK,Alaska,59.1517,-135.3584,149
Gakona,AK,Alaska,62.3609,-145.2657,148
Tetlin,AK,Alaska,63.1481,-142.4947,144
Tanacross,AK,Alaska,63.3523,-143.4318,141
Venetie,AK,Alaska,67.0206,-146.3741,141
Tenakee Springs,AK,Alaska,57.7913,-135.1955,135
Dry Creek,AK,Alaska,63.6255,-144.6364,133
Nondalton,AK,Alaska,59.9711,-154.8627,133
Coldfoot,AK,Alaska,67.2475,-150.1079,132
Ekwok,AK,Alaska,59.3462,-157.4861,131
Hollis,AK,Alaska,55.5113,-132.7023,127
Chuathbaluk,AK,Alaska,61.5746,-159.2489,126
Cold Bay,AK,Alaska,55.2122,-162.7475,125
Deering,AK,Alaska,66.0723,-162.7437,123
Pitkas Point,AK,Alaska,62.0374,-163.2681,122
Silver Springs,AK,Alaska,62.0193,-145.3584,120
Diomede,AK,Alaska,65.7536,-168.9219,119
Chalkyitsik,AK,Alaska,66.6468,-143.7822,115
Naukati Bay,AK,Alaska,55.8801,-133.1993,112
Port Heiden,AK,Alaska,56.9426,-158.6047,109
Egegik,AK,Alaska,58.2181,-157.4036,106
Northway,AK,Alaska,62.9479,-141.8322,102
St. George,AK,Alaska,56.5791,-169.6114,101
Primrose,AK,Alaska,60.3497,-149.3199,99
Chitina,AK,Alaska,61.5276,-144.2991,98
Koyukuk,AK,Alaska,64.9008,-157.6946,92
Crooked Creek,AK,Alaska,61.8439,-158.1082,90
Chignik,AK,Alaska,56.3003,-158.4132,89
Pelican,AK,Alaska,57.9577,-136.2177,87
